frame,tl_x,tl_y,tl_loss,tr_x,tr_y,tr_loss,bl_x,bl_y,bl_loss,br_x,br_y,br_loss,processing_time_ms
262,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
263,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
264,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
265,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
266,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
267,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
268,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
269,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
270,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
271,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
272,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
273,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
274,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
275,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
276,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
277,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
278,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
279,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
280,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
281,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
282,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
283,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
284,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
285,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
286,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
287,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
288,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
289,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
290,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
291,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
292,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
293,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
294,0,0,0.9931,1280,0,nan,0,720,nan,1280,720,nan,36
295,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
296,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,37
297,-11,-47,0.9954,1280,0,nan,0,720,nan,1280,720,nan,36
298,-18,-47,0.9680,1280,0,nan,0,720,nan,1280,720,nan,35
299,-48,-45,0.9780,1280,0,nan,0,720,nan,1280,720,nan,35
300,0,-47,0.9442,1280,0,nan,0,720,nan,1280,720,nan,35
301,10,-42,0.9668,1280,0,nan,0,720,nan,1280,720,nan,35
302,0,-38,0.9713,1280,0,nan,0,720,nan,1280,720,nan,35
303,25,-49,0.9484,1280,0,nan,0,720,nan,1280,720,nan,35
304,30,-46,0.9953,1280,0,nan,0,720,nan,1280,720,nan,35
305,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
306,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
307,0,-49,0.9908,1280,0,nan,0,720,nan,1280,720,nan,36
308,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
309,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
310,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
311,-41,-49,0.9956,1280,0,nan,0,720,nan,1280,720,nan,35
312,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
313,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
314,-7,-42,0.9812,1280,0,nan,0,720,nan,1280,720,nan,35
315,-44,-40,0.9682,1280,0,nan,0,720,nan,1280,720,nan,35
316,-37,-50,0.9600,1280,0,nan,0,720,nan,1280,720,nan,35
317,-26,-50,0.9596,1280,0,nan,0,720,nan,1280,720,nan,35
318,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
319,-42,-50,0.9868,1280,0,nan,0,720,nan,1280,720,nan,35
320,-49,-50,0.9957,1280,0,nan,0,720,nan,1280,720,nan,35
321,-6,-28,0.9902,1280,0,nan,0,720,nan,1280,720,nan,35
322,-46,-33,0.9815,1280,0,nan,0,720,nan,1280,720,nan,35
323,0,-33,0.9855,1280,0,nan,0,720,nan,1280,720,nan,36
324,-45,-14,0.9707,1280,0,nan,0,720,nan,1280,720,nan,35
325,-21,-35,0.9340,1280,0,nan,0,720,nan,1280,720,nan,35
326,-41,-41,0.9409,1280,0,nan,0,720,nan,1280,720,nan,35
327,-13,-40,0.9486,1280,0,nan,0,720,nan,1280,720,nan,35
328,-30,-19,0.9507,1280,0,nan,0,720,nan,1280,720,nan,35
329,-20,-8,0.9742,1280,0,nan,0,720,nan,1280,720,nan,35
330,-34,-22,0.9320,1280,0,nan,0,720,nan,1280,720,nan,35
331,-20,-20,0.9602,1280,0,nan,0,720,nan,1280,720,nan,35
332,-26,-36,0.9014,1280,0,nan,0,720,nan,1280,720,nan,35
333,-16,-45,0.9078,1280,0,nan,0,720,nan,1280,720,nan,35
334,-36,-28,0.9431,1280,0,nan,0,720,nan,1280,720,nan,35
335,-13,-44,0.9302,1280,0,nan,0,720,nan,1280,720,nan,35
336,-45,-34,0.9722,1280,0,nan,0,720,nan,1280,720,nan,35
337,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
338,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
339,-42,-46,0.9911,1280,0,nan,0,720,nan,1280,720,nan,35
340,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
341,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
342,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
343,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
344,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
345,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
346,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
347,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
